ADM2|08|3523|1623178|Kabupaten Tuban|-6.95|111.89167|Daerah Tingkat II Tuban,Kabupaten Tuban,Tuban Regency
ADM2|08|3503|1623250|Kabupaten Trenggalek|-8.15972|111.62639|Daerah Tingkat II Trenggalek,Kabupaten Trenggalek,Trenggalek,Trenggalek Regency
ADM2|18|5305|1623839|Kabupaten Timor Tengah Utara|-9.33136|124.51904|Daerah Tingkat II Timor Tengah Utara,Kabupaten Timor Tengah Utara,North Central Timor Regency
ADM2|18|5304|1623840|Kabupaten Timor Tengah Selatan|-9.83333|124.4|Daerah Tingkat II Timor Tengah Selatan,Kabupaten Timor Tengah Selatan,South Central Timor Regency
ADM2|07|3323|1624237|Kabupaten Temanggung|-7.25|110.13333|Daerah Tingkat II Temanggung,Kabupaten Temanggung,Temanggung,Temanggung Regency
ADM2|07|3328|1624493|Kabupaten Tegal|-7.03333|109.16667|Daerah Tingkat II Tegal,Kabupaten Tegal,Tegal,Tegal Regency
ADM2|30|3278|1624645|Kota Tasikmalaya|-7.35472|108.22139|Kota Administratip Tasikmalaya,Kota Tasikmalaya,Tasikmalaya
ADM2|30|3206|1624646|Kabupaten Tasikmalaya|-7.5|108.15|Daerah Tingkat II Tasikmalaja,Kabupaten Tasikmalaja,Kabupaten Tasikmalaya,Tasikmalaya,Tasikmalaya Regency
ADM2|12|6305|1624750|Kabupaten Tapin|-2.96667|115.03333|Kabupaten Tapin,Tapin Regency
ADM2|15|1871|1624916|Kota Bandar Lampung|-5.41667|105.26667|Kabupaten Tanjungkarang-Telukbetung,Kodya Bandarlampung,Kota Bandar Lampung,Kotamadya Bandarlampung,Kotamadya Tanjungkarang-Telukbetung,Kotapradja Tandjungkarang-Telukbetung
ADM2|33|3603|1625083|Kabupaten Tangerang|-6.16667|106.48333|Daerah Tingkat II Tangerang,Kabupaten Tangerang,Kota Tangerang
